[GIN] 2023/10/17 - 20:06:47 | 200 |   70.425274ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |   70.672351ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |   76.544156ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |    64.54871ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |   75.091938ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |   75.486897ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |    67.84868ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   59.995778ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   60.769272ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   64.026669ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   65.184976ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   65.533622ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |   74.317822ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:48 | 200 |    62.21054ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |   77.738557ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |     75.9996ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |   76.443213ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |   76.453887ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |   70.491848ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:49 | 200 |   77.541912ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   76.115376ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   80.066591ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   75.984913ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   74.224783ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   61.818109ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   64.566248ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:50 | 200 |   69.446538ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |  312.415911ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |   74.818894ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |   64.493161ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |   76.682695ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |   61.857456ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:51 | 200 |   74.014755ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |    61.53636ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   61.514656ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   77.219246ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   64.170453ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   69.326088ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   63.825748ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:52 | 200 |   59.955912ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |   77.911512ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |   76.718632ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |    79.44589ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |   79.485946ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |   83.295218ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |   67.065152ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:53 | 200 |    82.73757ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |   79.334608ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |   77.195128ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |   77.578182ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |   78.550058ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |   67.974318ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:54 | 200 |    83.49923ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   71.148654ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   70.911163ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   84.152871ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |     78.0474ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   67.010105ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   71.439612ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:55 | 200 |   66.768671ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   88.632243ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   91.472663ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   78.508888ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   82.579933ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   57.494655ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |    64.08737ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:56 | 200 |   82.777853ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   62.929669ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   79.762986ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   78.722889ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   70.691034ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |    65.66814ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   59.900109ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:57 | 200 |   74.430089ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:58 | 200 |   68.304898ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:58 | 200 |   84.793064ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:58 | 200 |    62.01751ms |       127.0.0.1 | POST     "/go/SignUp"
