[GIN] 2023/10/30 - 00:18:29 | 200 |   21.927287ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:29 | 200 |   14.581388ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:32 | 200 |     16.7176ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:18:33 | 200 |   13.265713ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:33 | 200 |    2.069028ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:18:36 | 200 |    8.642574ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:38 | 200 |   15.964335ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:38 | 401 |   12.804824ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:18:39 | 200 |   13.671909ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:39 | 401 |   11.825798ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:18:40 | 200 |   13.537196ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:55 | 200 |  464.970592ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/30 - 00:18:55 | 200 |   13.139628ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:18:55 | 200 |   14.883335ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:19:00 | 200 |    1.297802ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:19:01 | 200 |     1.91832ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:19:02 | 200 |    2.501197ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:19:05 | 200 |   30.393427ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:19:07 | 200 |    1.327656ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:20:16 | 200 |    1.999493ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:20:16 | 200 |    1.535509ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:20:19 | 200 |   27.743817ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:20:21 | 200 |    1.357156ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:20:56 | 200 |    3.839228ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:20:56 | 200 |     2.27289ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:20:59 | 200 |   38.331243ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:21:00 | 200 |     1.69809ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:21:59 | 200 |    6.405145ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:21:59 | 200 |     1.52467ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:22:03 | 200 |   31.154425ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:22:06 | 200 |    1.664702ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:24:00 | 200 |    3.696816ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:24:00 | 200 |    1.765726ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:24:02 | 200 |    33.42887ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:24:04 | 200 |    1.361115ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:24:41 | 200 |    5.340976ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:24:41 | 200 |    1.719937ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:24:44 | 200 |   31.220267ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:24:47 | 200 |    1.586383ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:29:43 | 200 |    1.194084ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:34:38 | 200 |   17.533718ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:34:38 | 200 |   14.585776ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:34:38 | 200 |   14.721884ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:06 | 200 |    4.183992ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:08 | 200 |   17.052816ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:08 | 200 |    2.206736ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:35:08 | 200 |   17.933403ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:08 | 200 |   17.175616ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:13 | 200 |    2.340517ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:35:13 | 200 |   19.339841ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:13 | 200 |    1.837736ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:35:13 | 200 |   18.358746ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:25 | 200 |   52.185083ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:35:27 | 200 |   16.779986ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:35:27 | 200 |    2.544079ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:35:27 | 200 |    24.21091ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:36:18 | 200 |    3.645977ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:36:18 | 200 |   19.435225ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:36:18 | 200 |     2.26091ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:36:18 | 200 |   25.442017ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:36:19 | 200 |   23.733861ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:36:19 | 200 |   40.646756ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:09 | 200 |   14.728725ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:09 | 200 |   14.732489ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:19 | 200 |    4.026911ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:20 | 200 |    12.78591ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:20 | 200 |    2.414031ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:37:20 | 200 |    14.61752ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:20 | 200 |    1.766962ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:37:20 | 200 |    9.984246ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:36 | 200 |    6.718492ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:37 | 200 |    13.33868ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:37 | 401 |    9.445096ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:37:39 | 200 |    12.32294ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:37:39 | 401 |   12.241943ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:37:40 | 200 |   14.554658ms |       127.0.0.1 | GET      "/go/GetCart"
