[GIN] 2023/11/01 - 00:44:05 | 200 |   24.218146ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:05 | 200 |    17.21465ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:54 | 200 |   34.173149ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:54 | 200 |   34.296035ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:55 | 200 |   30.757076ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:55 | 200 |   15.383443ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:55 | 401 |    10.51801ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:55 | 401 |   10.355483ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:55 | 401 |   13.037482ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:56 | 401 |    13.14858ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:45:56 | 401 |   31.979214ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:46:31 | 401 |    3.966745ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:46:31 | 401 |   40.389228ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:46:42 | 401 |    7.870532ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:46:43 | 401 |   13.383491ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:46:54 | 401 |   13.143431ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:46:54 | 401 |   16.454047ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:47:09 | 200 |  216.383248ms |             ::1 | POST     "/go/Login"
[GIN] 2023/11/01 - 00:47:09 | 200 |   26.694039ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:47:09 | 200 |   18.233302ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:47:12 | 200 |   21.556247ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:12 | 200 |    22.09918ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:13 | 401 |    9.254459ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:14 | 200 |   20.722141ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:14 | 200 |   22.392313ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 200 |   21.918416ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 200 |   14.076611ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 401 |   12.165355ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 401 |   12.849278ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 401 |   15.387381ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 401 |   10.876939ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:47:17 | 401 |   13.040984ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:50:26 | 401 |   28.251781ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:50:33 | 401 |   17.361738ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:50:33 | 401 |   11.850555ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:50:47 | 200 |  248.965787ms |             ::1 | POST     "/go/Login"
[GIN] 2023/11/01 - 00:50:47 | 200 |    20.05537ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:50:47 | 200 |   26.307507ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:50:51 | 200 |   25.181498ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:50:51 | 200 |   22.276782ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:50:53 | 200 |   25.865035ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:52:04 | 200 |   30.752474ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:53:11 | 200 |   20.848862ms |       127.0.0.1 | POST     "/go/Maker/DetailsRegister"
[GIN] 2023/11/01 - 00:53:11 | 200 |   20.510118ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:53:11 | 200 |    18.13313ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:53:19 | 200 |   28.761656ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:53:55 | 200 |   25.907034ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:53:55 | 200 |     18.2762ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:53:55 | 200 |   15.717168ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:56:19 | 200 |    1.707369ms |             ::1 | GET      "/go/item/all"
