[GIN] 2023/11/01 - 14:31:58 | 200 |   11.830653ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   15.795998ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   20.519366ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   18.011103ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   12.758942ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   13.840332ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   10.927753ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   14.394368ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   19.512165ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   14.275687ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   38.114093ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:59 | 200 |   62.660155ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:00 | 200 |  261.499181ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |  145.250318ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |   37.510554ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |   10.127752ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |   11.848825ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |    12.29473ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |   14.973427ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:02 | 200 |   10.004863ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   13.014631ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   15.835093ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   11.670811ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |    18.45276ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   11.318535ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   10.761304ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   12.084756ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   14.392108ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:03 | 200 |   24.112342ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:04 | 200 |  145.944753ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:06 | 200 |  257.252433ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:32:08 | 200 |  248.544057ms |       127.0.0.1 | GET      "/go/GetCustomer"
