[GIN] 2023/10/31 - 16:21:39 | 200 |   13.813541ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:21:39 | 200 |   15.061005ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:21:39 | 200 |   13.943278ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:21:42 | 200 |   22.958037ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:21:43 | 200 |    1.732562ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:22:05 | 200 |   72.146997ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:22:06 | 200 |   20.117637ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:06 | 200 |   14.934938ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:22:06 | 200 |    17.95347ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:06 | 200 |   12.548115ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:22:07 | 200 |   19.373219ms |             ::1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:22:08 | 200 |    1.289801ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:22:20 | 200 |   84.516627ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:22:20 | 200 |   23.817523ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:20 | 200 |   20.000414ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:23 | 200 |   22.104258ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:23 | 200 |   14.216655ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:22:54 | 200 |   23.783075ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:22:55 | 200 |    2.624687ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:23:05 | 200 |   76.475405ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:23:05 | 200 |   28.319142ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:23:05 | 200 |   17.402732ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:23:05 | 200 |    18.23058ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:23:05 | 200 |   10.228668ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:36:40 | 200 |    18.21657ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:36:41 | 200 |   15.850633ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:36:41 | 200 |   17.498883ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:36:41 | 200 |   12.240655ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:36:42 | 200 |    18.84875ms |             ::1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:36:43 | 200 |    1.545874ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:36:55 | 200 |   70.521146ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:36:55 | 200 |   20.734851ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:36:55 | 200 |   23.545446ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:41:32 | 200 |   21.073878ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:41:33 | 200 |    1.788126ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:42:25 | 200 |   74.614321ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:42:26 | 200 |   27.484258ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:42:26 | 200 |   20.914994ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:42:26 | 200 |   15.336299ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:42:26 | 200 |    9.974439ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:43:59 | 200 |   30.268358ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:43:59 | 200 |   44.570037ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:44:00 | 200 |   25.178611ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:44:00 | 200 |   19.597641ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:44:53 | 200 |   20.040769ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:44:53 | 200 |   13.582253ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:44:53 | 200 |   19.219291ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:44:53 | 200 |   22.156559ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:44:57 | 200 |   18.623951ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:44:57 | 200 |   14.991936ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:45:01 | 200 |   22.639659ms |             ::1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:45:02 | 200 |    1.708764ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:45:13 | 200 |   92.766182ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:45:15 | 200 |   24.092091ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:45:15 | 200 |   23.453496ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:46:03 | 200 |   28.055792ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:46:03 | 200 |    1.647564ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:46:14 | 200 |   79.769997ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:46:15 | 200 |   28.176926ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:46:15 | 200 |     17.5299ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:46:15 | 200 |   24.150686ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:46:15 | 200 |   11.320366ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:46:19 | 200 |   31.379733ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:46:19 | 200 |    17.44555ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:46:19 | 200 |   14.482958ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:46:19 | 200 |   13.564749ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:51:01 | 200 |   23.803238ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:51:01 | 200 |   17.326419ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:51:01 | 200 |   19.405144ms |             ::1 | GET      "/go/GetCart"
